iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
0,9.613576889038086,9.613576889038086,9.613576889038086,9.615829563140869,9.622516221372278,9.60914290490946,9.599239985148111,9.607222257461604,9.591257712834619,9.616840839385986,9.623535591909562,9.610146086862411
1,9.080477714538574,9.080477714538574,9.080477714538574,9.09418420791626,9.100150155722208,9.088218260110313,9.077055295308432,9.085432035528031,9.068678555088832,9.095050048828124,9.100670258891554,9.089429838764694
2,8.601666450500488,8.601666450500488,8.601666450500488,8.594621944427491,8.601729697766608,8.587514191088374,8.582948048909506,8.596228043527882,8.56966805429113,8.59720983505249,8.603913164728079,8.590506505376903
3,8.144270896911621,8.144270896911621,8.144270896911621,8.12899866104126,8.136423590706361,8.12157373137616,8.118329048156738,8.135039048905586,8.10161904740789,8.133259105682374,8.14086071858987,8.125657492774877
4,7.706723690032959,7.706723690032959,7.706723690032959,7.697186899185181,7.7036222482667425,7.690751550103619,7.694985866546631,7.708521459904089,7.6814502731891725,7.7037914276123045,7.710930911320794,7.696651943903815
5,7.303602695465088,7.303602695465088,7.303602695465088,7.289303207397461,7.295214454233026,7.283391960561897,7.2877912521362305,7.301394634547124,7.274187869725337,7.294663715362549,7.302127622711803,7.287199808013295
6,6.901121616363525,6.901121616363525,6.901121616363525,6.902253150939941,6.907006826575044,6.897499475304839,6.898391564687093,6.9062609993465625,6.890522130027623,6.905516767501831,6.911612606841038,6.899420928162625
7,6.537681579589844,6.537681579589844,6.537681579589844,6.539042282104492,6.544269488474273,6.533815075734711,6.530535538991292,6.54053622679912,6.520534851183464,6.542714595794678,6.548681503219036,6.536747688370319
8,6.207935333251953,6.207935333251953,6.207935333251953,6.2014867782592775,6.208119593344063,6.194853963174492,6.190692901611328,6.205955387960632,6.175430415262024,6.203390312194824,6.210808374997239,6.19597224939241
9,5.887124061584473,5.887124061584473,5.887124061584473,5.875653219223023,5.881495625921703,5.869810812524342,5.865255832672119,5.8799005268964,5.850611138447838,5.878813362121582,5.885606987031479,5.8720197372116845
10,5.583425998687744,5.583425998687744,5.583425998687744,5.574148225784302,5.579349137559135,5.568947314009468,5.563483556111653,5.575018695843708,5.551948416379599,5.576812648773194,5.5831397975405865,5.570485500005801
11,5.294284820556641,5.294284820556641,5.294284820556641,5.288084411621094,5.293420768711992,5.282748054530196,5.27364714940389,5.285515584210229,5.2617787145975505,5.291003561019897,5.297557535141301,5.284449586898493
12,5.025815486907959,5.025815486907959,5.025815486907959,5.015819025039673,5.021246621994226,5.0103914280851205,5.001832167307536,5.013199842131809,4.990464492483263,5.018715858459473,5.024839833369393,5.012591883549552
13,4.774649143218994,4.774649143218994,4.774649143218994,4.759247303009033,4.764777208492496,4.753717397525571,4.744813760121663,4.758849034267384,4.730778485975942,4.759872627258301,4.766676087024397,4.753069167492205
14,4.545389652252197,4.545389652252197,4.545389652252197,4.519605350494385,4.525138095130285,4.514072605858485,4.507153034210205,4.522410828087725,4.491895240332685,4.517713975906372,4.524607752230186,4.510820199582558
15,4.313438415527344,4.313438415527344,4.313438415527344,4.290910291671753,4.29541511885069,4.286405464492815,4.282398382822673,4.296113398706268,4.268683366939078,4.289919805526734,4.295881559235362,4.2839580518181055
